Project Number;Project SDGs;Project Name;Source;Status;Type of Partnership;Type of project;SDG scope;Description;Start Date;End Date;Partners;Info Link;Project Link
547;6,8,9,12,13,14,15,17;Finland's Water Stewardship Action Plan 2023-2025;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;The mission of the International Water Strategy of Finland is to work together towards responsible and equitable water security. Supporting water stewardship action by companies is one of the objectives of the Strategy, and water stewardship commitments and partnerships its implementation means. As a part of the implementation of the Strategy, a goal has been set for Finland and Finnish companies to become the most responsible water stewards in the world by 2030.The national water stewardship implementation framework was lifted to a new level at the Glasgow COP26 in November 2021 when Finland became a founding signatory of the Fair Water Footprints Declaration along with other global leaders.The Declaration signatories commit within the water footprints they have control and influence over, domestically and internationally, to a) Zero pollution and control of diffuse pollution, b) Sustainable and equitable water withdrawals, c) WASH access for workers and local communities, d) Protection of nature, and promotion of nature-based solutions and regenerative agriculture, e) Resilience to floods, droughts and water conflict (including through secure water tenure). The Declaration connects in a novel way government policies, trade relations and water stewardship action by companies along national and international value chains.In 2022, Finnish ministries with the support of the Finnish Environment Institute Syke developed a first delivery plan for the Declaration for years 2023-2025. It contains a detailed water accounting, footprint and water risk analysis of priority sectors and trade partner countries, and a legal and policy analysis of the available EU and national steering methods and their further development needs. Building on these analyses the plan details a Theory of Change of how Finland will reach the Declaration targets and lists a variety of actions to be taken by Finnish ministries and partners in the coming years, constituting a Water Stewardship Action Plan for 2023-2025, with outline plans and ambitions for scaling up action until 2030.The action in 2023-2025 will focus on 1) committing the priority sectors to water stewardship and new types of collective action, 2) advancing fair water footprints and water stewardship as a part of public procurement and ownership steering by state, 3) advancing fair water footprints and water stewardship in trade- and development policy and projects, and 4) providing R&D&I funding for themes linked to priority footprints and associated development needs.The progress of the implementation of the plan will be reviewed annually in conjunction with the International Water Strategy action plans and by the Fair Water Footprints Declaration bodies, and amendments and additional plans until 2030 will be opened to public hearing in 2025.;01 January 2023;31 December 2025;"companies, industry associations, research institutes, education institutes, cities and municipalities, civil society organisations; Business Finland, Academy of Finland, Centres for Economic Development, Transport and the Environment; Prime Minister’s Office, Ministry of Education and Culture";waterinfo.fi/waterstewardship;https://sdgs.un.org/partnerships/finlands-water-stewardship-action-plan-2023-2025
551;3,4,5,6,8,13,17;Accelerating Collective Action for SDG 6: Global Water Challenge’s Commitment to WASH Access for All;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Global Water Challenge (GWC) is a coalition of leading organizations deploying expertise and networks that advances global water security and universal access to safe and affordable WASH in communities around the world. Since 2006, GWC has positively reached over 3 million people in 40 countries across Africa, the Americas and Asia with clean water access. Grounded on the Ripple Effect Study, GWC established the women for water platform to mobilize collective action that results in clean water access for every woman and her community. Currently supporting and scaling impact in 26 countries, women for water measurably contributes to economic outcomes. GWC and women for water work with our multi-sector partners to drive collective action and empower women and girls in high-priority communities. Our multi-pronged approach is designed to help communities break down barriers to education, promote clean WASH and create economic opportunities for women and girls. GWC recognizes the significant impact water-related challenges have on communities and ecosystems around the world, where almost 2 billion people lack access to safely managed drinking water services (UN Water, 2022), and 3.6 billion lack access to improved sanitation services (WHO and UNICEF, 2022). Achieving universal access to WASH by 2030 will only be achieved through collective action and strong support for climate-resilient services and economic opportunities for women and girls.;N/A;N/A;-;globalwaterchallenge.org;https://sdgs.un.org/partnerships/accelerating-collective-action-sdg-6-global-water-challenges-commitment-wash-access
559;6,8,9,12,13,14,15,17;Finnish Water Stewardship Expert Network;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;The Finnish Water Stewardship Expert Network has been founded to support Finnish companies becoming the most responsible water stewards in the world by 2030.The network consists of state research institutes, universities and colleges, consulting companies, foundations and NGOs, which all engage in developing principles and practices of water stewardship and accordingly, sustainable and fair water use by business. The network members take complementary roles, some directly engaging with companies while others with policy development in close collaboration with government and public sector agencies, and in scientific research, capacity building and advocacy.The network is coordinated by the Finnish Environment Institute Syke. Syke ensures the network expert views are taken into account in the development of national Water Stewardship Action Plans by the associated Finnish ministries, and supports the network members in having access to and building their services to companies on the best international practices and scientific knowledge.;22 March 2023;31 December 2030;Aalto University, AFRY Finland, Finnish Freshwater Foundation, Finnish Water Forum, Gaia Consulting, Natural Resources Institute Finland Luke, Pyhäjärvi Institute, SYKLI Environmental College, University of Eastern Finland, VTT Technical Research Centre of Finland;vesi.fi/vesivastuullisuus/;https://sdgs.un.org/partnerships/finnish-water-stewardship-expert-network
579;3,5,6,10,13,17;Water for Women Fund Extension;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Water for Women focuses on providing opportunities and benefits in water, sanitation, and hygiene (WASH) for everyone in the community, including women, poor and marginalised communities and people with a disability.The Water for Women Fund responds to evidence that gendered approaches to WASH can contribute to more effective, sustainable WASH outcomes as well as improvements in women’s and girls’ well-being, health and agency. WASH delivery offers an entry point to facilitate changes in gender relations, norms and attitudes.Advancing gender equality through implementation of Sustainable Development Goal 6 – Clean Water and Sanitation– will see a world where women and girls do not bear the time burden of walking long distances every day to collect water for their families, where their reproductive health and nutrition status is vastly improved, where fewer babies die as a result of mothers giving birth in unhygienic health care facilities and girls no longer miss school because there are no appropriate menstrual hygiene management services. These are just a few examples which highlight the critical contributions of water and WASH to the health and resilience of women, their families and communities.The Australian Government extended Water for Women fund for 2.5 years, and committed an additional $36 million in funding, to make Water for Women Fund’s total budget of $154.9 million during 2018-25. This fund will be delivering 100% climate finance eligible programs while maintaining its focus on gender equality and social inclusion in its’ extension phase (2023-25).;12 December 2022;30 June 2025;"GHD Australia Pty Ltd, Water for Women Fund (Australian Government-funded program); Centre for Research and Advocacy (India); Habitat for Humanity (Australia and Fiji); iDE (Cambodia); International Rescue Committee (Pakistan); Plan International (Indonesia, Papua New Guinea, Solomon Islands); Research Triangle Institute (India); SNV Netherlands (Bhutan, Nepal, Lao PDR); Thrive Networks / East Meets West (Cambodia, Vietnam); WaterAid (Papua New Guinea, Timor-Leste); World Vision (Bangladesh, Papua New Guinea, Vanuatu); University of Technology Sydney - Institute for Sustainable Futures; International WaterCentre at Griffith University; International Water Management Institute; London School of Hygiene and Tropical Medicine; Monash University – Monash Sustainable Development Institute.";https://www.waterforwomenfund.org/en/index.aspx;https://sdgs.un.org/partnerships/water-women-fund-extension
690;3,6,10,11;A Global Commitment to Stop the Flow of Lead in Drinking Water;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3,6;"Lead is a potent neurotoxin that impairs brain function and irreversibly harms children’s cognitive development. No safe level of lead exposure has been identified. Approximately 1 in every 3 children worldwide (about 800 million children) currently have elevated blood lead levels which may be a significant factor in intellectual disabilities, decreased IQ, and in reducing lifelong earning potential. This makes lead not only a serious and significant public health threat but a key environmental risk factor that can exacerbate inequalities in marginalized groups. Addressing this challenge will require concerted efforts by our cross-sectoral partner organizations, including Member States, UN agencies, non-governmental organizations, WASH implementers, water component manufacturers, and academia.Water is a significant, but relatively easy to address, source of lead exposure. The primary source of lead in drinking-water is lead-leaching parts and materials in water systems, including piped networks, plumbing and fixtures in buildings (e.g., homes and schools), and small water systems (e.g., hand pumps and their components). A WHO Technical Brief issued in August 2022 noted that “Prevention is the most effective action to reduce exposure to lead through drinking water” and encouraged global action.We are launching this global initiative by bringing together a coalition of government, private sector, and non-government partners focused on reducing morbidity and mortality associated with lead exposure from drinking water. Our cross-sectoral partnership has three objectives:1.	 Secure a commitment from governments, intergovernmental and non-governmental organizations, multi-lateral financial institutions, and partners in the private sector to eliminate the use of lead-leaching parts in new drinking water systems by 2030 and to progressively work towards making all drinking water lead free by 2040. The pledge commitment and list of founding partners can be accessed on the GlobalLeadFreeWater.org website.2.	GlobalLeadFreeWater.org will become a knowledge hub that summarizes the knowledge and tools to support national governments and implementing partners seeking to establish, monitor, and enforce new regulations and standards, to improve water quality testing, and to implement reforms in the design, construction, building, and commissioning of drinking water supply systems.3.	We will work to develop and codify international standards and guidelines on lead in drinking water and parts used in drinking water systems.  And,4.	We will invite other states and organizations to be partners on the pledge and broader initiative and collectively advocate for the progressive elimination of lead and other toxic metals in drinking water systems.";13 March 2023;31 December 2030;"Governments of Ghana, Uganda, and South Africa; World Health Organization; UNICEF; World Vision; WaterAid; International Association of Plumbing and Mechanical Officials; Conrad N. Hilton Foundation; LIXIL; RTI International; Rural Water Sanitation Network; Skat Foundation; University of Leeds; World Plumbing Council; The Water Institute at UNC";www.GlobalLeadFreeWater.org;https://sdgs.un.org/partnerships/global-commitment-stop-flow-lead-drinking-water
698;1,3,6;Improving Sustainable Access to Clean Water for Communities Impacted by Climate Change;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"In accordance with our mission, vision, and the Water Action Agenda, TSP is committed to facilitating the implementation of 60 new water projects over the next 5 years, delivering clean water to an additional 60,000 people by 2028. Furthermore, by 2033 we are committed to bringing water to every Samburu person, permanently eradicating the ""walks for water"" currently burdening women and children every day in this beautiful, arid region.";13 March 2023;31 December 2030;1. The Samburu people2. Groundwater Max, Inc3. Aquamax, Inc4. The Samburu County Government;www.thesamburuproject.org;https://sdgs.un.org/partnerships/improving-sustainable-access-clean-water-communities-impacted-climate-change
741;5,6,13,15,17;Support water governance and improve climate resilience in Central Africa;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Global Water Partnership Central Africa's (GWP-CAf) is one of thirteen regional water partnerships and member of the GWP network which covers the following countries: Cameroon, Central African Republic, Chad, Congo Republic - Brazzaville, Equatorial Guinea, Gabon, and São Tomé & Principe.ObjectivesCommitted to increasing water security in Central Africa - the organization will continue to support governments in the improvement of water governance and climate resilience, elaboration and implementation of water policies, capacity building for sectorial experts, facilitating access to climate funding, and advocating for the implementation of the Gender-Transformative Approach (GTA) in the water and climate sector.Our approachPartnership / multi-stakeholder approach for consensus building with convening power across different levels and stakeholder groups.Facilitating water governance through supporting national processes for monitoring and facilitating implementation of SDG 6 target 6.5.Active participation and contribution to global, regional, and national platforms convened to advance sustainable water resources development and management in a climate change context.;01 January 2022;31 December 2027;ECCAS,LCBC,CICOS,UNESCO Regional Central Africa Office,Ministry of water,Ministry of environment,Private Sector,CSOs.;https://www.gwp.org/en/GWP-Central-Africa/;https://sdgs.un.org/partnerships/support-water-governance-and-improve-climate-resilience-central-africa
757;2,6,9,11,13,15;Mobilizing the global water resilience community;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"AGWA is a network of individuals and organizations that works in both the technical and policy spheres of water and climate change. In both cases, AGWA crowdsources the best practices, recommendations, frameworks, and policy recommendations through our network and beyond to ensure that our water resources can become climate resilient. One of the core beliefs at our founding was that water is the medium of most negative climate impacts. What we have come to know from a decade of intense collaboration, north and south, is that water is also the medium for most climate resilience. Two basic challenges for addressing climate change exist relative to the SDGs. First, even if we stopped all carbon emissions today, the climate would continue to evolve for many decades — if not longer. This means that any specific targets for 2030 will have a limited shelf life. Second, our ability to estimate with confidence how future climate will evolve, especially concerning the water cycle, is limited. We believe these challenges force us to consider how to address the prospect of climatic transformation, which is when a region develops fundamentally new climatic, hydrological, and ecological characteristics. Globally, we see transformation already well underway in high-latitude and high-altitude regions, such as when we lose a glacier and we see a grassland or even a forest emerge. Within a decade or two, we can expect that most regions of the planet will be well along the path of transformation. The issue of transformation is one that has yet to be adequately addressed by the global water community; our traditional solutions based on optimization and hydrologic stationarity do not match the issues that climate change presents. While we must urgently accelerate and complete our energy revolution, we must simultaneously learn to live with the expectation of ongoing change — to prepare and to ensure that we find ways to thrive and build prosperity. In other words, we must build our collective resilience using new tools and approaches to live with complexity, change, and uncertainty. Water resilience is the concept that we must act robustly and decisively for the impacts we can see with confidence, while planning for flexibility for impacts that we cannot predict with confidence. Water resilience does not assume that the past predicts the future. This approach applies to infrastructure as much as regulatory frameworks, protected areas, and global governance. Water resilience should be the key to locking in many SDG targets to ensure they remain relevant beyond 2030. Our situation is serious, but we also have reasons to be hopeful. The concept of water resilience remains relatively new but is rapidly expanding. Many institutions are now working in this space, but many of the most important stakeholders are not necessarily found within the traditional water community. How do we reach new audiences? This is AGWA’s principal commitment to the Water Action Agenda: to mobilize and engage a global water resilience community dedicated to transforming the ways we govern, manage, utilize, and thrive with water.";N/A;N/A;"AGWA works with dozens of partners on these and other water resilience initiatives including governments such as The Netherlands, Spain, Germany, the UK, and Egypt; IFIs such as the World Bank and Asian Development Bank; NGOs and research institutions such as Deltares, Global Resilience Partnership, Forest Trends, The Nature Conservancy, Alliance for Water Stewardship, and the International Water Management Institute; UN Conventions and Agencies like the UNFCCC, UNDRR, UNESCO, and UN Global Compact; as well as private entities such as Veolia, Microsoft, and Arup. We believe that no one of us is smart enough, rich enough, or powerful enough to adapt in isolation. Indeed, becoming resilient together is in the true spirit of the SDGs and the UN Water Conference itself. We look forward to welcoming you!";www.alliance4water.org;https://sdgs.un.org/partnerships/mobilizing-global-water-resilience-community
768;6,17;Thriving and Resilient Rivers for Future Generations - Addressing the Global Water Challenges.;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"Addressing the global water challenges means addressing the health and resilience of the world's rivers. There cannot be sustainable development without healthy rivers. Rivers are the lifeblood of the land, people, and economies they support. Rivers are the most degraded ecosystems in the world; if a river stops flowing, life stops working.For more than 20 years, the International RiverFoundation (IRF) has shone a spotlight on the global agenda for rivers. Our vision is a world of thriving and resilient rivers for future generations. We endeavour to achieve this through the four pillars of collaborating, convening, communicating, and celebrating these important ecosystems. We promote the protection, sustainable development and restoration of rivers across borders through facilitating system understanding, effective governance, adaptive and transformational actions, and innovative funding.Through COLLABORATION, the IRF will build strong and lasting partnerships with key organisations to develop, facilitate, and implement a framework for thriving and resilient rivers through the Resilience Rivers Blueprint and Hub. We continue to CONVENE global river leaders and stakeholders through the International Riversymposium (25 years) and regular forums and think tanks. Through Voices for Rivers, we COMMUNICATE and amplify the critical role of rivers in sustaining life on this planet and bring key and necessary actions to protect and restore them to the forefront of the global water agenda. The International and Regional River Prizes CELEBRATE, recognise and financially support the work of those implementing on-the-ground actions to achieve thriving and resilient rivers.With the accelerating impacts of climate change and biodiversity loss, now more than ever, we need effective partnerships and a coordinated approach to enable groundbreaking action for rivers.";01 January 2023;31 December 2030;Brisbane City CouncilQueensland GovernmentThiess Pty LtdPort of BrisbaneUniversity of Queensland;https://riverfoundation.org.au/;https://sdgs.un.org/partnerships/thriving-and-resilient-rivers-future-generations-addressing-global-water-challenges
772;6,13,15;Strengthening private sector participation in the SDG6 IWRM agenda as a tangible resource base;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"The SDG6 IWRM Matchmaking Initiative aims to match country-defined priorities for water management improvements which are lacking financing or only have partial funding, with local funding sources, donors and other funding agencies that have available financing, but which are not currently investing in water management at the scale required or in the most coordinated manner. To do so, it aims to leverage political and financial in-country support for the implementation of the actions in the coming years, to accelerate progress on the water-related SDGs, in line with the SDG 6 Global Acceleration Framework.In the process, Kenya has developed the IWRM Investment Package (IWRM-IP), which is designed to harmonize, integrate, and enhance implementation of priority IWRM conservation and development plans at national and catchment levels. Numerous governments, community, civil society, and private sector stakeholders are already working on sustainable management and wise use of water resources.Despite such good efforts, there is shortage of funding. As a result, urgent conservation and development actions remain unfunded. The projects in the IWRM IP target these unmet funding needs. Intent is to leverage additional resources required to cover financial shortfalls.The IWRM-IP has been designed to support conservation at the catchment level. The Investment Package is based on a common goal of “improved conservation and sustainable management of the catchment ecosystem for improved economic and social welfare,” aiming to promote application of “wise use” concepts; strengthen governance; build conservation awareness and capacity; encourage sustainable alternative livelihoods. The focus of the IWRM-IP is operational costs of carrying out essential catchment conservation and associated IWRM sustainable development activities in line with the National Water Resources Management Strategy.";N/A;N/A;UNEP-DHI, UNDP-CAPNET, Ministry of Water, Sanitation and Irrigation (Kenya), Water Sector Trust Fund (WSTF), Kenya Private Sector Alliance;https://www.gwp.org/en/GWP-Eastern-Africa/;https://sdgs.un.org/partnerships/strengthening-private-sector-participation-sdg6-iwrm-agenda-tangible-resource-base
788;1,2,3,6,7,8,9,10,11,12,13,14,15,16,17;Build a Water-Smart Society in Europe;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Water Europe as the recognised voice and promoter of the innovative water sector in Europe aims to improve coordination and collaboration in the water sector in Europe and beyond, enhance performance and competitiveness of the water sector and contribute to solving global water challenges through RTD&I. Water Europe envisions a European society driven by inclusive and open innovations with modern governance structures, solutions and pricing mechanisms reflecting the value of water, technologies to reduce, re-use, recycle and cascade water streams, a redesigned water infrastructure as well as more profound water stewardship programmes. These innovations will manoeuvre the water market towards a 50% reduction of pressure on our natural water system and a more effective resilience against the impact of demographic and climate change. Water Europe manages three programmes to achieve this objective: 1. A Collaboration Programme to bring challenge owners and solutions providers together to network, exchange knowledge and experiences. In this respect Water Europe and its partners support the creation of Water-Oriented Living Labs, which are water-oriented, real-life demonstration and implementation instrument that brings together public and private institutions, government, civil society, and academia to jointly build structured grounds to develop, validate, and scale-up water-related innovations that embrace new technologies, governance, business models, and innovative policies. 2. An Implementation Programme to help our members to bring their research results and solutions to the market. The transition to a climate neutral and circular society calls not only for technological innovation, but also a holistic socio-economic approach and concrete market outreach for innovations. 3. An Advocacy programme to raise awareness about the Value of Water and facilitate the inclusion of the right drivers into the European legislation to accelerate the achievement of the SDGs, particularly the 6th one.;N/A;N/A;Bioazul, B-Novate, Dupont, Grundfos, European Youth Parliament for Water and the International Secretariat for Water - Solidarity Water Europe, European Junior Water Programme, Suez, University of Thessaly, Veolia, Vito, Vlakwa, Water Footprint Implementation, WE&B, Wetskills;www.watereurope.eu;https://sdgs.un.org/partnerships/build-water-smart-society-europe
790;5,6,13,14;Developing water solutions within a Climate Changing World is not only urgent, it is paramount.;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Waterlution - a federally registered Canadian non-profit founded in 2003 – has successfully established itself as an internationally recognized water-focused organization offering distinctive capacity building, leadership and facilitation training to spark and mentor innovators and aspiring entrepreneurs in the water and climate change space. While engaging communities through place-based workshops and activities that together evolve our collective relationship to, understanding of, and innovative responses toward, solving complex water challenges, Waterlution intentionally works with underrepresented peoples, particularly women and Indigenous peoples.;10 June 2020;10 June 2030;Global Water Partnership (GWP)Global Affairs Canada (GAC)MEOPAR CEWAS - member of UN Sanitation and Water Entrepreneurship PactPurificadores EUROPAACQUA MATERIPESAUNESCO;www.waterlution.org;https://sdgs.un.org/partnerships/developing-water-solutions-within-climate-changing-world-not-only-urgent-it-paramount
810;6,13,14,15,17;SIWI commits to support collective action on the Water Action Agenda, good governance, Water for Climate, Source-to-Sea and cooperation;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"Multifaceted challenges call for integrated and cross-sectoral solutions for a just transition of societies towards a water and climate-secure future for all. SIWI will work with stakeholders at transnational, national, subnational, and local levels to implement cross-sectoral commitments, partner together for increased action on water and climate, and support implementation of the SDGs through holistic water-related solutions. We will advocate with others for strong commitments and collective action in support of the UN Water Action Decade 2018-2028, and for inclusive, holistic, and cross-sectoral water management to be placed at the heart of the Sustainable Development Goals (SDGs) and the climate action agenda. SIWI is committed to empowering under-represented groups such as women, youth and Indigenous Peoples within water governance.More specifically, SIWI will work with partners to support ongoing collective action by:- Offering opportunities within World Water Week as an annual moment for participants to review, align and accelerate action on the commitments registered in the Water Action Agenda and to share solutions that can be upscaled;- Continuing to develop and disseminate holistic water governance knowledge and good practices, and to foster learning across constituencies for increased impact;- Supporting governance mechanisms for universal and sustainable water and sanitation services in countries where we work, directly, or with other partners;- Offering, among other things, capacity development, development of new guidance/tools, support for new policies, national or local plans, coordination mechanisms, and for enhanced regulation and accountability measures;- Creating space for all voices to be heard in different fora, such as advocating actively for gender equality, youth empowerment, Indigenous Peoples’ perspectives and values and a human rights-based approach that supports the most vulnerable or under-represented;- Supporting and reinforcing countries’ capacities to develop and implement resilient water governance, management and services through ambitious and interconnected climate and water policies and strengthened NDCs and NAPs, in coherence with national development processes. Continue to drive action in cooperation with members of the Water for Climate Pavilion Collective;- Championing the Source-to-Sea approach to address current and emerging governance and management challenges in a holistic, cross-sectoral manner, accounting for activities and impacts on land, freshwater, near shore, and in marine ecosystems, including in transboundary contexts. Continue to host the Action Platform for Source-to-Sea Management (S2S Platform) as a mechanism to build a community of peers, establish an evidence base, strengthen commitments and get source-to-sea action on the ground for an ever-growing community of diverse actors that collectively contribute to the Water Action Agenda;- Promoting cooperation of shared waters as a catalyst for peace and conflict prevention by providing support to governments, basin organizations, and all relevant stakeholders, with tailored capacity development and dialogue support. SIWI is further committed to support inclusive transboundary processes with knowledge development, including research on water cooperation, water diplomacy, and water governance.  (See related commitments: Support of the Transboundary Water Cooperation Coalition; Adherence to the Finish expert opinion on the “Value of Water in Times of Armed Conflicts” issued September 2022).";01 January 2023;22 March 2028;"World Water Week Partners: Grundfos foundation, Government of the Netherlands, Meta, Arup, Republic of Slovenia, Nestle, Foundation for Food & Agriculture Research.Key collaborating partners: IDB (Inter-American Development Bank), GSMA, Imagine H_O, Rare (Center for Behavior & the Environment),Regional Coordinators: IDB (Inter-American Development Bank), Asia-Pacific Water Forum, The African Ministers’ Council on WaterSupported by: The Swedish International Development Cooperation Agency, City of StockholmWater for Climate Pavilion Core Partners: Governments of Egypt, Germany, The Netherlands, Tajikistan, UAE, the UK, State of Rio de Janeiro, African Development Bank, AGWA, American University of Cairo, Arup, Asian Development Bank, Asian Water Council,  Australian Water Partnership, CARES, EcoPeace Middle East, Diageo, Environmental Defense Fund, FAO, French Water Partnership, GHD Australia Pty Ltd – Water for Women Fund, GWP, IC IFAS, INBO, IUCN, IWMI, IWRA, Pacific Institute/CEO Water Mandate, Sanitation and Water for All, SNV, Stockholm International Water Institute (SIWI),  TNC, UNESCO, UN-ESCWA, UNDRR, UN Habitat, UNICEF, Van Oord, WaterAid, Walton Family Foundation, Wetlands International, WHO, WRI, WWFAction Platform for Source-to-Sea Management Partners: AGWA, Alliance for Water Stewardship, Amazon Cooperation Treaty Organization, Asia-Pacific Water Forum, Benguela Current Convention, Cap-Net, Clean Water Wave, COALMA, Commission on the Protection of Black Sea against Pollution, Conservation International, Delta Alliance, Deltares, DHI, FAO, GEF, GWP, IAHR, ICPDR, ISPRA, IWRA, IUCN, Office Francais de la Biodiversite, ORASCE, OSUNA, PEMSEA, Plymouth Marine Laboratory, Race for the Baltic, Ramsar Convention, SEI, Stockholm International Water Institute (SIWI), TNC, UNEP-DHI, UNDP, UNEP GPA, UNESCO-IHP, UNESCO IOC, University of Cyprus, Ocean Sewage Alliance, UNSW Sydney Global Water Institute, Water Culture Institute, Water Science Policy, Wetlands International, Xiamen UniversityTransboundary Water Cooperation (TWC) Coalition: The Governments of Chile, Dominican Republic, Estonia, Finland, France, Germany, Hungary, Iraq, Kazakhstan, Morocco, Namibia, The Netherlands, Panama, Senegal, Slovenia, Switzerland, Uganda; and organizations: UN ESCWA, European Union, GEF , Inter-American Development Bank (IaDB), Organization of American States (OAS), UNCDF, UNDP, UNECE, UNEP, UNESCO, World Bank , Centro Regional para la Gestión de Aguas Subteranneas de América Latina y el Caribe (CeReGAS), EcoPeace Middle East, Geneva Water Hub (GWH), Global Water Partnership (GWP), International Groundwater Resources Assessment Centre (IGRAC), IHE Delft Institute for Water Education, International Network of Basin Organizations (INBO), IUCN, Stockholm International Water Institute (SIWI), University of Kinshasa, Water Diplomacy Center/Jordan University of Science and Technology.Other Partners supporting SIWI’s operations and programmes: EBRD, European Union, Governments of Sweden, Germany, Finland, The Netherlands and US, IDB, SIDA, Swiss Development Cooperation Agency, UNDP, UNICEF, World Bank";https://siwi.org/;https://sdgs.un.org/partnerships/siwi-commits-support-collective-action-water-action-agenda-good-governance-water
811;3,4,5,6,8;Accelerating Sanitation and Menstrual Hygiene – Switzerland’s contribution to the UN Sanitation and Hygiene Fund SHF;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3,6;The Sanitation and Hygiene Fund (SHF) is a dedicated UN fund to bring transformative change to millions of people around the world without access to safely managed toilets, handwashing facilities and the means to manage their menstrual health safely. The overall goal of the SHF is to contribute specifically to achieving the Sustainable Development Goal 6.2. by 2030. Working globally and with an initial footprint in Africa, SHF is mobilizing resources to develop and fund a pipeline of investable propositions to create sustainable sanitation economies and menstrual hygiene marketplaces, driving national targets and helping women gain greater economic hold. SHF’s catalytic approach unlocks resources of multilateral and national development banks, finance institutions and governments, and enables the private sector to build lasting national sanitation, hygiene, and menstrual hygiene market ecosystems.In line with the UN Common Agenda, SHF puts women and girls - their choice, voice and power - at the center of these markets so that they benefit from better health, education, jobs and a cleaner environment. SHF aspires to see thriving sanitation and hygiene economies and menstrual hygiene marketplaces where the poorest and most disadvantaged women and girls are able to take control of their bodies and their social and economic status.;01 March 2023;31 December 2026;"UN Sanitation and Hygiene Fund (SHF), priority country governments, local communities, the local private sector (other development partners and donors: the Government of the Netherlands technical partners such as SWA, the Toilet Board Coalition, WaterAid, IRC WASH, SuSanA; the Global Menstrual Hygiene Collective, SMEs; Innovative financing partners, f.e MDBs; DFIs; knowledge and innovation partners such as WHO, UN Women, UNFPA, UNICEF.";https://www.shfund.org/;https://sdgs.un.org/partnerships/accelerating-sanitation-and-menstrual-hygiene-switzerlands-contribution-un-sanitation
829;2,6;Chapter on Water and Food in the Water Action Agenda;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2,6;"We will identify a number of action perspectives (i.e. game changers) on water and food, such as making water pivotal in food system pathways and priorization of water (re-)allocation. Involved partners will commit themselves to these action perspectives and will follow-up on this after the conference.

With respect to prioritization of water (re-)allocation , it will for instance be important to consider the societal value of water used by agriculture for food production when assessing the potential trade-offs in water-reallocations between diverse water users. So not only the value of water for the farmer in terms of higher production, but also the value of water for food security and stability. The value of water for staple crops is for instance low in terms of crop production, but high in terms of food security. The current situation shows the need to reassess the socio-economic value of water for food, in terms of food security for stability in vulnerable regions. This is a game changer.";07 February 2023;22 March 2024;Private Sector: Cargill, Nature’s Pride, Royal Eijkelkamp, Van der HoevenPublic Sector /International organisations: Dutch Ministry of Agriculture, Nature and Food Quality, Dutch Ministry of Infrastructure and Water Management, Dutch Ministry of Foreign Affairs, Dutch Water Authorities, World Bank, UN World Food Programme and UN FAO INSASResearch/Academia: CGIAR, International Potato Centre (tbc), IWMI, WURNon-Governmental Organisations /Public-Private partnerships: Clim-Eat, Environmental Defense Fund, Global Resilience Partnership, GWP, ECDPM, NFP (SEEDNL) and Saline Water & Food Systems Partnership (FAO/ICBA/ADB);www.wur.nl;https://sdgs.un.org/partnerships/chapter-water-and-food-water-action-agenda
